pitcher,player,outs,bases,score,play,li,re,we,wpa,re24,halfinning,inning,gamenum,fgabnum,matchedabnum
J Shields,G Blanco,0,___,0-0,Gregor Blanco singled to center (Fliner (Liner)).,0.87,0.45,0.464,0.036,0.37,top,1,1,1,1
J Shields,J Panik,0,1__,0-0,Joe Panik flied out to center (Fly). Gregor Blanco advanced to 2B.,1.5,0.81,0.48,-0.016,-0.18,top,1,1,2,2
J Shields,B Posey,1,_2_,0-0,Buster Posey singled to left (Liner). Gregor Blanco advanced to 3B.,1.26,0.63,0.43,0.05,0.5,top,1,1,3,3
J Shields,P Sandoval,1,1_3,0-1,Pablo Sandoval doubled to right (Fliner (Liner)). Gregor Blanco scored. Buster Posey out at home.,1.96,1.13,0.406,0.024,0.17,top,1,1,4,4
J Shields,H Pence,2,_2_,0-3,Hunter Pence homered (Fliner (Fly)). Pablo Sandoval scored.,1.05,0.3,0.237,0.169,1.79,top,1,1,5,5
J Shields,B Belt,2,___,0-3,Brandon Belt singled to center (Liner).,0.23,0.09,0.23,0.007,0.12,top,1,1,6,6
J Shields,M Morse,2,1__,0-3,Michael Morse struck out swinging.,0.47,0.21,0.243,-0.013,-0.21,top,1,1,7,7
M Bumgarner,A Escobar,0,___,0-3,Alcides Escobar grounded out to shortstop (Grounder).,0.81,0.45,0.223,-0.02,-0.21,bottom,1,1,8,8
M Bumgarner,N Aoki,1,___,0-3,Nori Aoki lined out to pitcher (Liner).,0.55,0.23,0.21,-0.013,-0.14,bottom,1,1,9,9
M Bumgarner,L Cain,2,___,0-3,Lorenzo Cain was hit by a pitch.,0.33,0.09,0.221,0.011,0.12,bottom,1,1,10,10
M Bumgarner,E Hosmer,2,1__,0-3,Eric Hosmer flied out to center (Fliner (Fly)).,0.71,0.21,0.202,-0.019,-0.21,bottom,1,1,11,11
J Shields,T Ishikawa,0,___,0-3,Travis Ishikawa grounded out to first (Grounder).,0.49,0.45,0.214,-0.012,-0.21,top,2,1,12,12
J Shields,B Crawford,1,___,0-3,Brandon Crawford flied out to right (Fliner (Liner)).,0.35,0.23,0.222,-0.008,-0.14,top,2,1,13,13
J Shields,G Blanco,2,___,0-3,Gregor Blanco flied out to center (Fly).,0.23,0.09,0.228,-0.006,-0.09,top,2,1,14,14
M Bumgarner,B Butler,0,___,0-3,Billy Butler singled to center (Fliner (Liner)).,0.85,0.45,0.265,0.037,0.37,bottom,2,1,15,15
M Bumgarner,A Gordon,0,1__,0-3,Alex Gordon lined out to shortstop (Liner).,1.52,0.81,0.231,-0.034,-0.34,bottom,2,1,16,16
M Bumgarner,S Perez,1,1__,0-3,Salvador Perez grounded into a double play to pitcher (Grounder). Billy Butler out at second.,1.14,0.48,0.185,-0.046,-0.48,bottom,2,1,17,17
J Shields,J Panik,0,___,0-3,Joe Panik lined out to second (Liner).,0.47,0.45,0.197,-0.012,-0.21,top,3,1,18,18
J Shields,B Posey,1,___,0-3,Buster Posey lined out to third (Liner).,0.34,0.23,0.205,-0.008,-0.14,top,3,1,19,19
J Shields,P Sandoval,2,___,0-3,Pablo Sandoval flied out to center (Fly).,0.23,0.09,0.211,-0.006,-0.09,top,3,1,20,20
M Bumgarner,O Infante,0,___,0-3,Omar Infante reached on error to shortstop (Grounder). Error by Brandon Crawford.,0.89,0.45,0.25,0.039,0.37,bottom,3,1,21,21
M Bumgarner,M Moustakas,0,1__,0-3,Mike Moustakas doubled to right (Liner). Omar Infante advanced to 3B.,1.6,0.81,0.365,0.116,1.1,bottom,3,1,22,22
M Bumgarner,A Escobar,0,_23,0-3,Alcides Escobar struck out swinging.,1.94,1.91,0.304,-0.062,-0.57,bottom,3,1,23,23
M Bumgarner,N Aoki,1,_23,0-3,Nori Aoki struck out swinging.,1.85,1.34,0.224,-0.079,-0.78,bottom,3,1,24,24
M Bumgarner,L Cain,2,_23,0-3,Lorenzo Cain walked.,2.04,0.56,0.244,0.019,0.17,bottom,3,1,25,25
M Bumgarner,E Hosmer,2,123,0-3,Eric Hosmer grounded out to second (Grounder).,3.16,0.73,0.166,-0.078,-0.73,bottom,3,1,26,26
J Shields,H Pence,0,___,0-3,Hunter Pence doubled to left (Grounder).,0.45,0.45,0.133,0.033,0.61,top,4,1,27,27
J Shields,B Belt,0,__3,0-3,Brandon Belt walked.,0.55,1.05,0.1,0.033,0.73,top,4,1,29,28
J Shields,M Morse,0,1_3,0-4,Michael Morse singled to center (Liner). Hunter Pence scored. Brandon Belt advanced to 2B.,0.73,1.78,0.076,0.024,0.63,top,4,1,30,29
D Duffy,J Perez,0,12_,0-4,Juan Perez sacrificed to third (Bunt Grounder). Brandon Belt advanced to 3B. Michael Morse advanced to 2B.,0.6,1.41,0.075,0.001,-0.07,top,4,1,31,30
D Duffy,B Crawford,1,_23,0-4,Brandon Crawford walked.,0.54,1.34,0.073,0.002,0.16,top,4,1,32,31
D Duffy,G Blanco,1,123,0-5,Gregor Blanco walked. Brandon Belt scored. Michael Morse advanced to 3B. Brandon Crawford advanced to 2B.,0.86,1.5,0.044,0.029,1,top,4,1,33,32
D Duffy,J Panik,1,123,0-5,Joe Panik struck out swinging.,0.54,1.5,0.06,-0.016,-0.77,top,4,1,34,33
D Duffy,B Posey,2,123,0-5,Buster Posey flied out to right (Fly).,0.61,0.73,0.075,-0.015,-0.73,top,4,1,35,34
M Bumgarner,B Butler,0,___,0-5,Billy Butler flied out to second (Fly).,0.49,0.45,0.063,-0.012,-0.21,bottom,4,1,36,35
M Bumgarner,A Gordon,1,___,0-5,Alex Gordon struck out swinging.,0.31,0.23,0.055,-0.008,-0.14,bottom,4,1,37,36
M Bumgarner,S Perez,2,___,0-5,Salvador Perez struck out swinging.,0.17,0.09,0.051,-0.004,-0.09,bottom,4,1,38,37
D Duffy,P Sandoval,0,___,0-5,Pablo Sandoval grounded out to shortstop (Grounder).,0.16,0.45,0.055,-0.004,-0.21,top,5,1,39,38
D Duffy,H Pence,1,___,0-5,Hunter Pence grounded out to shortstop (Grounder).,0.11,0.23,0.058,-0.003,-0.14,top,5,1,40,39
D Duffy,B Belt,2,___,0-5,Brandon Belt struck out swinging.,0.08,0.09,0.06,-0.002,-0.09,top,5,1,41,40
M Bumgarner,O Infante,0,___,0-5,Omar Infante flied out to right (Fly).,0.46,0.45,0.048,-0.011,-0.21,bottom,5,1,42,41
M Bumgarner,M Moustakas,1,___,0-5,Mike Moustakas struck out swinging.,0.28,0.23,0.041,-0.007,-0.14,bottom,5,1,43,42
M Bumgarner,A Escobar,2,___,0-5,Alcides Escobar flied out to right (Fliner (Liner)).,0.15,0.09,0.037,-0.004,-0.09,bottom,5,1,44,43
D Duffy,M Morse,0,___,0-5,Michael Morse struck out swinging.,0.12,0.45,0.04,-0.003,-0.21,top,6,1,45,44
D Duffy,J Perez,1,___,0-5,Juan Perez flied out to center (Fly).,0.09,0.23,0.043,-0.002,-0.14,top,6,1,46,45
D Duffy,B Crawford,2,___,0-5,Brandon Crawford grounded out to first (Grounder).,0.06,0.09,0.044,-0.002,-0.09,top,6,1,47,46
M Bumgarner,N Aoki,0,___,0-5,Nori Aoki grounded out to shortstop (Grounder).,0.42,0.45,0.034,-0.01,-0.21,bottom,6,1,48,47
M Bumgarner,L Cain,1,___,0-5,Lorenzo Cain grounded out to shortstop (Grounder).,0.25,0.23,0.028,-0.006,-0.14,bottom,6,1,49,48
M Bumgarner,E Hosmer,2,___,0-5,Eric Hosmer grounded out to pitcher (Liner).,0.12,0.09,0.025,-0.003,-0.09,bottom,6,1,50,49
D Duffy,G Blanco,0,___,0-5,Gregor Blanco walked.,0.08,0.45,0.021,0.003,0.37,top,7,1,51,50
D Duffy,J Panik,0,1__,0-6,Joe Panik tripled to center (Fliner (Liner)). Gregor Blanco scored.,0.14,0.81,0.007,0.014,1.54,top,7,1,52,51
T Collins,B Posey,0,__3,0-6,Buster Posey lined out to first (Liner).,0.05,1.36,0.009,-0.002,-0.46,top,7,1,53,52
T Collins,P Sandoval,1,__3,0-7,Pablo Sandoval singled to left (Grounder). Joe Panik scored.,0.08,0.9,0.006,0.003,0.58,top,7,1,54,53
T Collins,H Pence,1,_2_,0-7,Hunter Pence walked.,0.025,0.48,0.005,0.0005,0.38,top,7,1,56,54
T Collins,B Belt,1,12_,0-7,Brandon Belt struck out swinging.,0.05,0.85,0.006,-0.001,-0.44,top,7,1,57,55
T Collins,M Morse,2,12_,0-7,Michael Morse flied out to center (Fly).,0.04,0.41,0.007,-0.001,-0.41,top,7,1,58,56
M Bumgarner,B Butler,0,___,0-7,Billy Butler flied out to center (Fly).,0.1,0.45,0.005,-0.003,-0.21,bottom,7,1,59,57
M Bumgarner,A Gordon,1,___,0-7,Alex Gordon grounded out to first (Grounder).,0.06,0.23,0.003,-0.001,-0.14,bottom,7,1,60,58
M Bumgarner,S Perez,2,___,7-Jan,Salvador Perez homered (Fly).,0.02,0.09,0.007,0.004,1,bottom,7,1,61,59
M Bumgarner,O Infante,2,___,7-Jan,Omar Infante flied out to shortstop (Fliner (Fly)).,0.04,0.09,0.006,-0.001,-0.09,bottom,7,1,62,60
T Collins,J Perez,0,___,7-Jan,Juan Perez struck out looking.,0.02,0.45,0.007,-0.001,-0.21,top,8,1,63,61
T Collins,B Crawford,1,___,7-Jan,Brandon Crawford singled to left (Liner).,0.02,0.23,0.006,0.001,0.24,top,8,1,64,62
T Collins,G Blanco,1,1__,7-Jan,Gregor Blanco fouled out to third (Fly).,0.03,0.48,0.007,-0.001,-0.27,top,8,1,65,63
T Collins,J Panik,2,1__,7-Jan,Joe Panik flied out to center (Fly).,0.02,0.21,0.007,-0.001,-0.21,top,8,1,66,64
J Lopez,M Moustakas,0,___,7-Jan,Mike Moustakas grounded out to pitcher (Grounder).,0.13,0.45,0.004,-0.003,-0.21,bottom,8,1,67,65
J Lopez,A Escobar,1,___,7-Jan,Alcides Escobar singled to center (Liner).,0.07,0.23,0.008,0.003,0.24,bottom,8,1,68,66
J Lopez,N Aoki,1,1__,7-Jan,Nori Aoki grounded into a double play to second (Grounder). Alcides Escobar out at second.,0.16,0.48,0.002,-0.006,-0.48,bottom,8,1,69,67
J Frasor,B Posey,0,___,7-Jan,Buster Posey grounded out to third (Grounder).,0.01,0.45,0.002,0,-0.21,top,9,1,70,68
J Frasor,P Sandoval,1,___,7-Jan,Pablo Sandoval singled to left (Grounder).,0.01,0.23,0.002,0,0.24,top,9,1,71,69
J Frasor,H Pence,1,1__,7-Jan,Hunter Pence walked. Pablo Sandoval advanced to 2B.,0.01,0.48,0.002,0,0.37,top,9,1,72,70
J Frasor,B Belt,1,12_,7-Jan,Brandon Belt reached on fielder's choice to shortstop (Grounder). Pablo Sandoval advanced to 3B. Hunter Pence out at second.,0.02,0.85,0.002,0,-0.39,top,9,1,73,71
J Frasor,M Morse,2,1_3,7-Jan,Michael Morse struck out swinging.,0.02,0.46,0.002,0,-0.46,top,9,1,74,72
H Strickland,L Cain,0,___,7-Jan,Lorenzo Cain struck out swinging.,0.06,0.45,0.001,-0.002,-0.21,bottom,9,1,75,73
H Strickland,E Hosmer,1,___,7-Jan,Eric Hosmer grounded out to second (Grounder).,0.03,0.23,0,-0.001,-0.14,bottom,9,1,76,74
H Strickland,J Willingham,2,___,7-Jan,Josh Willingham struck out swinging.,0.01,0.09,0,0,-0.09,bottom,9,1,77,75
Y Ventura,G Blanco,0,___,0-1,Gregor Blanco homered (Fliner (Fly)).,0.87,0.45,0.394,0.106,1,top,1,2,1,1
Y Ventura,J Panik,0,___,0-1,Joe Panik flied out to right (Fly).,0.78,0.44,0.413,-0.019,-0.21,top,1,2,2,2
Y Ventura,B Posey,1,___,0-1,Buster Posey struck out swinging.,0.54,0.23,0.426,-0.013,-0.14,top,1,2,3,3
Y Ventura,P Sandoval,2,___,0-1,Pablo Sandoval grounded out to pitcher (Grounder).,0.35,0.09,0.435,-0.009,-0.09,top,1,2,4,4
J Peavy,A Escobar,0,___,0-1,Alcides Escobar singled to shortstop (Grounder).,0.93,0.45,0.474,0.039,0.37,bottom,1,2,5,5
J Peavy,N Aoki,0,1__,0-1,Nori Aoki flied out to center (Fly).,1.61,0.81,0.438,-0.036,-0.34,bottom,1,2,6,6
J Peavy,L Cain,2,___,0-1,Lorenzo Cain doubled to center (Fliner (Liner)).,0.83,0.48,0.42,-0.019,-0.17,bottom,1,2,8,7
J Peavy,E Hosmer,2,_2_,0-1,Eric Hosmer walked.,1.23,0.3,0.431,0.011,0.11,bottom,1,2,9,8
J Peavy,B Butler,2,12_,1-Jan,Billy Butler singled to left (Grounder). Lorenzo Cain scored. Eric Hosmer advanced to 3B.,1.79,0.41,0.548,0.117,1.06,bottom,1,2,10,9
J Peavy,A Gordon,2,1_3,1-Jan,Alex Gordon fouled out to left (Fly).,1.79,0.46,0.5,-0.048,-0.46,bottom,1,2,11,10
Y Ventura,H Pence,0,___,1-Jan,Hunter Pence flied out to center (Fly).,0.93,0.45,0.523,-0.023,-0.21,top,2,2,12,11
Y Ventura,B Belt,1,___,1-Jan,Brandon Belt struck out looking.,0.64,0.23,0.538,-0.016,-0.14,top,2,2,13,12
Y Ventura,M Morse,2,___,1-Jan,Michael Morse singled to center (Grounder).,0.41,0.09,0.526,0.013,0.12,top,2,2,14,13
Y Ventura,T Ishikawa,2,1__,1-Jan,Travis Ishikawa reached on fielder's choice to shortstop (Grounder). Michael Morse out at second.,0.85,0.21,0.549,-0.023,-0.21,top,2,2,15,14
J Peavy,S Perez,0,___,1-Jan,Salvador Perez lined out to first (Liner).,0.92,0.45,0.526,-0.023,-0.21,bottom,2,2,16,15
J Peavy,O Infante,1,___,1-Jan,Omar Infante doubled to left (Fliner (Liner)).,0.65,0.23,0.57,0.044,0.4,bottom,2,2,17,16
J Peavy,M Moustakas,1,_2_,1-Jan,Mike Moustakas flied out to center (Fliner (Fly)).,1.33,0.63,0.534,-0.036,-0.33,bottom,2,2,18,17
J Peavy,A Escobar,2,_2_,1-Feb,Alcides Escobar doubled to right (Liner). Omar Infante scored.,1.26,0.3,0.652,0.118,1,bottom,2,2,19,18
J Peavy,N Aoki,2,_2_,1-Feb,Nori Aoki flied out to left (Fliner (Liner)).,1.06,0.3,0.623,-0.029,-0.3,bottom,2,2,20,19
Y Ventura,B Crawford,0,___,1-Feb,Brandon Crawford grounded out to second (Grounder).,1.04,0.45,0.649,-0.026,-0.21,top,3,2,21,20
Y Ventura,G Blanco,1,___,1-Feb,Gregor Blanco grounded out to first (Grounder).,0.72,0.23,0.666,-0.017,-0.14,top,3,2,22,21
Y Ventura,J Panik,2,___,1-Feb,Joe Panik singled to right (Liner).,0.45,0.09,0.652,0.014,0.12,top,3,2,23,22
Y Ventura,B Posey,2,1__,1-Feb,Buster Posey grounded out to second (Grounder).,0.94,0.21,0.678,-0.026,-0.21,top,3,2,24,23
J Peavy,L Cain,0,___,1-Feb,Lorenzo Cain flied out to right (Fliner (Fly)).,0.78,0.45,0.658,-0.019,-0.21,bottom,3,2,25,24
J Peavy,E Hosmer,1,___,1-Feb,Eric Hosmer grounded out to second (Grounder).,0.56,0.23,0.645,-0.013,-0.14,bottom,3,2,26,25
J Peavy,B Butler,2,___,1-Feb,Billy Butler flied out to center (Fliner (Fly)).,0.38,0.09,0.636,-0.009,-0.09,bottom,3,2,27,26
Y Ventura,P Sandoval,0,___,1-Feb,Pablo Sandoval doubled to center (Fly).,1.15,0.45,0.555,0.081,0.61,top,4,2,28,27
Y Ventura,H Pence,0,_2_,1-Feb,Hunter Pence grounded out to shortstop (Grounder).,1.71,1.05,0.61,-0.055,-0.42,top,4,2,29,28
Y Ventura,B Belt,1,_2_,2-Feb,Brandon Belt doubled to right (Liner). Pablo Sandoval scored.,1.65,0.63,0.475,0.135,1,top,4,2,30,29
Y Ventura,M Morse,1,_2_,2-Feb,Michael Morse flied out to right (Fly). Brandon Belt out at third.,1.56,0.63,0.557,-0.083,-0.63,top,4,2,31,30
J Peavy,A Gordon,0,___,2-Feb,Alex Gordon flied out to center (Fly).,1.07,0.45,0.531,-0.026,-0.21,bottom,4,2,32,31
J Peavy,S Perez,1,___,2-Feb,Salvador Perez grounded out to second (Grounder).,0.76,0.23,0.513,-0.018,-0.14,bottom,4,2,33,32
J Peavy,O Infante,2,___,2-Feb,Omar Infante grounded out to shortstop (Grounder).,0.51,0.09,0.5,-0.013,-0.09,bottom,4,2,34,33
Y Ventura,T Ishikawa,0,___,2-Feb,Travis Ishikawa singled to center (Liner).,1.19,0.45,0.452,0.048,0.37,top,5,2,35,34
Y Ventura,B Crawford,0,1__,2-Feb,Brandon Crawford reached on fielder's choice to second (Grounder). Travis Ishikawa out at second.,2,0.81,0.496,-0.045,-0.34,top,5,2,36,35
Y Ventura,G Blanco,1,1__,2-Feb,Gregor Blanco flied out to second (Fly).,1.6,0.48,0.533,-0.037,-0.27,top,5,2,37,36
Y Ventura,J Panik,2,1__,2-Feb,Joe Panik flied out to center (Fliner (Liner)).,1.11,0.21,0.563,-0.03,-0.21,top,5,2,38,37
J Peavy,M Moustakas,0,___,2-Feb,Mike Moustakas grounded out to second (Grounder).,1.17,0.45,0.534,-0.029,-0.21,bottom,5,2,39,38
J Peavy,A Escobar,1,___,2-Feb,Alcides Escobar struck out swinging.,0.85,0.23,0.514,-0.02,-0.14,bottom,5,2,40,39
J Peavy,N Aoki,2,___,2-Feb,Nori Aoki flied out to center (Fly).,0.56,0.09,0.5,-0.014,-0.09,bottom,5,2,41,40
Y Ventura,B Posey,0,___,2-Feb,Buster Posey singled to center (Fliner (Liner)).,1.34,0.45,0.447,0.053,0.37,top,6,2,42,41
Y Ventura,P Sandoval,0,1__,2-Feb,Pablo Sandoval flied out to right (Fliner (Fly)).,2.22,0.81,0.496,-0.049,-0.34,top,6,2,43,42
Y Ventura,H Pence,1,1__,2-Feb,Hunter Pence singled to shortstop (Grounder). Buster Posey advanced to 2B.,1.78,0.48,0.443,0.053,0.37,top,6,2,44,43
K Herrera,B Belt,1,12_,2-Feb,Brandon Belt flied out to left (Fly).,2.94,0.85,0.508,-0.064,-0.44,top,6,2,45,44
K Herrera,M Morse,2,12_,2-Feb,Michael Morse reached on fielder's choice to shortstop (Grounder). Hunter Pence out at second.,2.58,0.41,0.571,-0.064,-0.41,top,6,2,46,45
J Peavy,L Cain,0,___,2-Feb,Lorenzo Cain singled to center (Fliner (Liner)).,1.31,0.45,0.623,0.052,0.37,bottom,6,2,47,46
J Peavy,E Hosmer,0,1__,2-Feb,Eric Hosmer walked. Lorenzo Cain advanced to 2B.,2.15,0.81,0.7,0.077,0.6,bottom,6,2,48,47
J Machi,B Butler,0,12_,2-Mar,Billy Butler singled to left (Liner). Lorenzo Cain scored. Eric Hosmer advanced to 2B.,2.58,1.41,0.828,0.128,1,bottom,6,2,49,48
J Lopez,A Gordon,0,12_,2-Mar,Alex Gordon flied out to left (Fliner (Fly)).,1.51,1.41,0.784,-0.044,-0.56,bottom,6,2,50,49
H Strickland,S Perez,1,_23,2-May,Salvador Perez doubled to center (Fliner (Liner)). Eric Hosmer scored. Terrance Gore scored.,1.55,0.85,0.93,0.145,1.78,bottom,6,2,52,50
H Strickland,O Infante,1,_2_,2-Jul,Omar Infante homered (Fliner (Fly)). Salvador Perez scored.,0.37,0.63,0.978,0.047,1.6,bottom,6,2,53,51
J Affeldt,M Moustakas,1,___,2-Jul,Mike Moustakas singled to center (Liner).,0.05,0.23,0.98,0.002,0.24,bottom,6,2,54,52
J Affeldt,A Escobar,1,1__,2-Jul,Alcides Escobar grounded into a double play to shortstop (Grounder). Mike Moustakas out at second.,0.1,0.48,0.975,-0.004,-0.48,bottom,6,2,55,53
K Herrera,T Ishikawa,0,___,2-Jul,Travis Ishikawa struck out swinging.,0.3,0.45,0.983,-0.007,-0.21,top,7,2,56,54
K Herrera,B Crawford,1,___,2-Jul,Brandon Crawford walked.,0.17,0.23,0.974,0.008,0.24,top,7,2,57,55
K Herrera,G Blanco,1,1__,2-Jul,Gregor Blanco walked. Brandon Crawford advanced to 2B.,0.38,0.48,0.959,0.016,0.37,top,7,2,58,56
K Herrera,J Panik,1,12_,2-Jul,Joe Panik flied out to center (Fliner (Liner)).,0.82,0.85,0.977,-0.018,-0.44,top,7,2,59,57
K Herrera,B Posey,2,12_,2-Jul,Buster Posey grounded out to second (Grounder).,0.48,0.41,0.989,-0.012,-0.41,top,7,2,60,58
T Lincecum,J Dyson,0,___,2-Jul,Jarrod Dyson flied out to left (Fliner (Fly)).,0.04,0.45,0.988,-0.001,-0.21,bottom,7,2,61,59
T Lincecum,L Cain,1,___,2-Jul,Lorenzo Cain grounded out to shortstop (Grounder).,0.03,0.23,0.987,-0.001,-0.14,bottom,7,2,62,60
T Lincecum,E Hosmer,2,___,2-Jul,Eric Hosmer struck out swinging.,0.02,0.09,0.987,-0.001,-0.09,bottom,7,2,63,61
W Davis,P Sandoval,0,___,2-Jul,Pablo Sandoval struck out swinging.,0.22,0.45,0.992,-0.005,-0.21,top,8,2,64,62
W Davis,H Pence,1,___,2-Jul,Hunter Pence out on a dropped third strike.,0.12,0.23,0.995,-0.003,-0.14,top,8,2,65,63
W Davis,B Belt,2,___,2-Jul,Brandon Belt grounded out to first (Grounder).,0.04,0.09,0.996,-0.001,-0.09,top,8,2,66,64
T Lincecum,J Willingham,0,___,2-Jul,Josh Willingham struck out swinging.,0.02,0.45,0.996,0,-0.21,bottom,8,2,67,65
T Lincecum,A Gordon,1,___,2-Jul,Alex Gordon fouled out to third (Fly).,0.01,0.23,0.995,0,-0.14,bottom,8,2,68,66
S Casilla,S Perez,2,___,2-Jul,Salvador Perez struck out swinging.,0.01,0.09,0.995,0,-0.09,bottom,8,2,69,67
G Holland,A Susac,0,___,2-Jul,Andrew Susac out on a dropped third strike.,0.13,0.45,0.998,-0.003,-0.21,top,9,2,70,68
G Holland,T Ishikawa,1,___,2-Jul,Travis Ishikawa struck out swinging.,0.06,0.23,1,-0.001,-0.14,top,9,2,71,69
G Holland,B Crawford,2,___,2-Jul,Brandon Crawford singled to right (Fliner (Fly)).,0.01,0.09,0.999,0.001,0.12,top,9,2,72,70
G Holland,G Blanco,2,_2_,2-Jul,Gregor Blanco out on a dropped third strike.,0.04,0.21,1,-0.001,0.21,top,9,2,74,71
T Hudson,A Escobar,0,___,0-0,Alcides Escobar doubled to left (Fly).,0.87,0.43,0.437,0.063,0.61,top,1,3,1,1
T Hudson,A Gordon,0,_2_,0-0,Alex Gordon grounded out to first (Grounder). Alcides Escobar advanced to 3B.,1.31,1.04,0.449,-0.012,-0.15,top,1,3,2,2
T Hudson,L Cain,1,__3,0-1,Lorenzo Cain grounded out to shortstop (Grounder). Alcides Escobar scored.,1.52,0.89,0.422,0.026,0.2,top,1,3,3,3
T Hudson,E Hosmer,2,___,0-1,Eric Hosmer grounded out to first (Grounder).,0.34,0.09,0.431,-0.008,-0.09,top,1,3,4,4
J Guthrie,G Blanco,0,___,0-1,Gregor Blanco flied out to center (Fly).,0.93,0.43,0.408,-0.023,-0.21,bottom,1,3,5,5
J Guthrie,J Panik,1,___,0-1,Joe Panik grounded out to second (Grounder).,0.64,0.22,0.393,-0.015,-0.14,bottom,1,3,6,6
J Guthrie,B Posey,2,___,0-1,Buster Posey flied out to right (Fliner (Liner)).,0.41,0.09,0.383,-0.01,-0.09,bottom,1,3,7,7
T Hudson,M Moustakas,0,___,0-1,Mike Moustakas singled to left (Liner).,0.8,0.43,0.35,0.033,0.37,top,2,3,8,8
T Hudson,O Infante,0,1__,0-1,Omar Infante walked. Mike Moustakas advanced to 2B.,1.37,0.79,0.299,0.051,0.6,top,2,3,9,9
T Hudson,S Perez,0,12_,0-1,Salvador Perez flied out to left (Fliner (Liner)).,1.79,1.39,0.347,-0.048,-0.56,top,2,3,10,10
T Hudson,J Dyson,1,12_,0-1,Jarrod Dyson grounded into a double play to second (Grounder). Omar Infante out at second.,1.83,0.83,0.425,-0.077,-0.83,top,2,3,11,11
J Guthrie,P Sandoval,0,___,0-1,Pablo Sandoval flied out to center (Fly).,1,0.43,0.4,-0.024,-0.21,bottom,2,3,12,12
J Guthrie,H Pence,1,___,0-1,Hunter Pence singled to shortstop (Grounder).,0.7,0.22,0.429,0.028,0.24,bottom,2,3,13,13
J Guthrie,B Belt,2,___,0-1,Brandon Belt singled to center (Liner).,0.905,0.46,0.398,-0.031,-0.27,bottom,2,3,15,14
J Guthrie,T Ishikawa,2,1__,0-1,Travis Ishikawa flied out to right (Fliner (Liner)).,0.91,0.2,0.373,-0.025,-0.2,bottom,2,3,16,15
T Hudson,J Guthrie,0,___,0-1,Jeremy Guthrie grounded out to second (Grounder).,0.84,0.43,0.393,-0.02,-0.21,top,3,3,17,16
T Hudson,A Escobar,1,___,0-1,Alcides Escobar grounded out to second (Grounder).,0.59,0.22,0.407,-0.014,-0.14,top,3,3,18,17
T Hudson,A Gordon,2,___,0-1,Alex Gordon struck out swinging.,0.39,0.09,0.417,-0.009,-0.09,top,3,3,19,18
J Guthrie,B Crawford,0,___,0-1,Brandon Crawford grounded out to second (Grounder).,1.09,0.43,0.39,-0.026,-0.21,bottom,3,3,20,19
J Guthrie,T Hudson,1,___,0-1,Tim Hudson flied out to center (Fliner (Fly)).,0.75,0.22,0.372,-0.018,-0.14,bottom,3,3,21,20
J Guthrie,G Blanco,2,___,0-1,Gregor Blanco flied out to center (Fly).,0.48,0.09,0.36,-0.012,-0.09,bottom,3,3,22,21
T Hudson,L Cain,0,___,0-1,Lorenzo Cain flied out to right (Fliner (Liner)).,0.86,0.43,0.381,-0.021,-0.21,top,4,3,23,22
T Hudson,E Hosmer,1,___,0-1,Eric Hosmer struck out swinging.,0.62,0.22,0.396,-0.014,-0.14,top,4,3,24,23
T Hudson,M Moustakas,2,___,0-1,Mike Moustakas grounded out to second (Grounder).,0.4,0.09,0.406,-0.01,-0.09,top,4,3,25,24
J Guthrie,J Panik,0,___,0-1,Joe Panik flied out to right (Fly).,1.21,0.43,0.376,-0.029,-0.21,bottom,4,3,26,25
J Guthrie,B Posey,1,___,0-1,Buster Posey grounded out to shortstop (Grounder).,0.83,0.22,0.356,-0.02,-0.14,bottom,4,3,27,26
J Guthrie,P Sandoval,2,___,0-1,Pablo Sandoval grounded out to second (Grounder).,0.54,0.09,0.343,-0.013,-0.09,bottom,4,3,28,27
